1	2.369451e-05
2	7.210325e-05
4	2.380483e-05
8	2.350744e-05
9	2.390684e-05
11	4.789899e-05
14	2.387210e-05
15	2.370009e-05
18	4.756992e-05
29	2.360986e-05
34	2.379030e-05
37	2.374758e-05
39	2.369062e-05
40	2.409481e-05
41	2.386776e-05
45	2.380007e-05
49	2.372430e-05
55	2.375765e-05
56	4.756171e-05
58	2.384616e-05
59	2.379969e-05
69	2.379116e-05
78	2.375876e-05
82	2.388466e-05
90	2.376279e-05
100	2.437261e-05
102	2.393144e-05
103	2.396365e-05
105	2.356992e-05
108	2.379449e-05
135	2.357795e-05
139	4.721740e-05
143	2.396427e-05
199	2.372813e-05
207	2.397672e-05
379	2.377981e-05
382	2.386773e-05
384	4.707559e-05
385	2.387907e-05
390	2.351154e-05
403	4.752661e-05
404	4.753701e-05
405	2.391551e-05
406	4.793055e-05
410	2.378809e-05
411	2.369198e-05
412	2.382540e-05
413	4.844989e-05
415	7.124848e-05
416	4.742760e-05
418	4.789491e-05
419	2.371421e-05
420	7.047324e-05
422	7.055062e-05
423	2.387239e-05
424	1.183225e-04
425	7.181006e-05
426	9.419409e-05
427	1.430369e-04
428	2.373214e-05
429	1.209981e-04
430	1.432159e-04
431	9.577311e-05
432	7.113884e-05
433	4.739099e-05
434	9.573259e-05
435	9.452064e-05
436	1.203744e-04
437	4.708533e-05
438	2.391418e-05
439	2.396804e-05
440	1.440950e-04
441	1.439201e-04
442	1.421214e-04
443	7.116594e-05
444	7.089665e-05
445	9.492588e-05
446	9.527344e-05
447	9.530794e-05
448	1.198824e-04
449	1.198891e-04
450	9.460734e-05
451	1.893599e-04
452	1.186125e-04
453	2.112414e-04
454	3.519924e-04
455	2.132475e-04
456	1.902709e-04
457	3.334391e-04
458	2.853961e-04
459	3.786078e-04
460	2.855576e-04
461	3.076626e-04
462	3.115503e-04
463	1.888192e-04
464	3.538427e-04
465	2.132195e-04
466	4.511364e-04
467	1.887588e-04
468	2.590819e-04
469	4.695129e-04
470	1.894774e-04
471	3.315311e-04
472	3.824391e-04
473	4.277101e-04
474	4.000689e-04
475	3.579052e-04
476	3.357601e-04
477	4.215389e-04
478	3.111836e-04
479	4.243599e-04
480	5.216987e-04
481	4.541496e-04
482	3.358881e-04
483	4.676121e-04
484	3.838052e-04
485	3.094671e-04
486	3.146594e-04
487	3.331475e-04
488	5.794474e-04
489	3.568674e-04
490	3.533706e-04
491	5.715439e-04
492	5.230866e-04
493	6.015899e-04
494	5.509900e-04
495	4.747917e-04
496	5.268575e-04
497	6.361010e-04
498	6.909869e-04
499	6.917991e-04
500	5.490068e-04
501	6.896073e-04
502	9.287316e-04
503	7.668986e-04
504	7.213624e-04
505	6.959714e-04
506	6.638063e-04
507	7.091212e-04
508	1.250089e-03
509	8.255088e-04
510	8.080351e-04
511	7.469134e-04
512	7.897771e-04
513	7.106543e-04
514	9.045247e-04
515	8.759261e-04
516	1.038408e-03
517	8.993973e-04
